,0
power_factor_l1,0.99996391094045
power_factor_l2,0.9999597864765014
power_factor_l3,0.99995669312854
power_factor_avg,0.9999556620125528
digital_input_1_and_2,0.9999412263887328
current_l2,2.0622319742880918e-05
current_l1,2.0622319742880918e-05
current_l3,1.959120375573687e-05
current_avg,1.8560087768592824e-05
volts_l2_n,4.124463948576183e-06
volts_l1_n,4.124463948576183e-06
volts_l_n_avg,3.0933479614321375e-06
volts_l3_n,3.0933479614321375e-06
volts_l2_l3,2.0622319742880917e-06
volts_l3_l1,2.0622319742880917e-06
volts_l1_l2,2.0622319742880917e-06
power_l2,1.0311159871440458e-06
volts_l_l_avg,1.0311159871440458e-06
volts_l2_thd,1.0311159871440458e-06
volts_l1_thd,1.0311159871440458e-06
freq,0.0
reactive_energy_import,0.0
reactive_power_l3,0.0
reactive_power_l2,0.0
reactive_power_l1,0.0
energy_import,0.0
energy_export,0.0
power_total,0.0
power_l3,0.0
current_l1_thd,0.0
power_l1,0.0
power_demand,0.0
max_power_demand,0.0
reactive_energy_export,0.0
volts_unbalance,0.0
reactive_power_demand,0.0
apparent_energy,0.0
apparent_power_total,0.0
apparent_power_l3,0.0
apparent_power_l2,0.0
apparent_power_l1,0.0
apparent_power_demand,0.0
current_l3_thd,0.0
current_unbalance,0.0
volts_l3_thd,0.0
reactive_power_total,0.0
