,0
current_l3_thd,100.0
current_l1_thd,100.0
power_total,100.0
apparent_power_l1,100.0
apparent_power_l2,100.0
freq,100.0
apparent_power_l3,100.0
power_l3,100.0
apparent_power_total,100.0
apparent_energy,100.0
volts_unbalance,100.0
volts_l3_thd,100.0
current_unbalance,100.0
apparent_power_demand,100.0
reactive_power_demand,100.0
reactive_energy_export,100.0
reactive_energy_import,100.0
max_power_demand,100.0
power_demand,100.0
power_l1,100.0
energy_export,100.0
energy_import,100.0
reactive_power_l1,100.0
reactive_power_l2,100.0
reactive_power_l3,100.0
reactive_power_total,100.0
volts_l_l_avg,99.99989688840128
volts_l1_thd,99.99989688840128
volts_l2_thd,99.99989688840128
power_l2,99.99989688840128
volts_l2_l3,99.99979377680258
volts_l3_l1,99.99979377680258
volts_l1_l2,99.99979377680258
volts_l3_n,99.99969066520386
volts_l_n_avg,99.99969066520386
volts_l2_n,99.99958755360514
volts_l1_n,99.99958755360514
current_avg,99.99814399122315
current_l3,99.99804087962443
current_l1,99.99793776802571
current_l2,99.99793776802571
units,99.99731909843342
digital_input_1_and_2,0.005877361126721062
power_factor_avg,0.004433798744719397
power_factor_l3,0.0043306871460049925
power_factor_l2,0.004021352349861779
power_factor_l1,0.0036089059550041607
result,0.0
table,0.0
site,0.0
controller,0.0
_field,0.0
time,0.0
_stop,0.0
_start,0.0
ahu_id,0.0
