result,table,time,controller,site,power_factor_avg,units,current_l1,current_l2,current_l3,volts_l1_n,volts_l2_n,volts_l3_n,power_total
_result,2,2025-10-30 08:15:14+00:00,E0107,wach,,V,,,,232.8,230.6,232.8,
_result,0,2025-10-30 08:15:15+00:00,E0107,wach,0.75,,,,,,,,
_result,0,2025-10-30 08:16:26+00:00,E0107,wach,0.75,,,,,,,,
_result,1,2025-10-30 08:21:16+00:00,E0107,wach,,A,4.55,3.97,,,,,
_result,0,2025-10-30 08:21:17+00:00,E0107,wach,0.75,,,,,,,,
_result,0,2025-10-30 08:25:48+00:00,E0107,wach,0.75,,,,,,,,
_result,1,2025-10-30 08:30:47+00:00,E0107,wach,,A,4.56,3.97,4.25,,,,
_result,0,2025-10-30 08:30:48+00:00,E0107,wach,0.75,,,,,,,,
_result,0,2025-10-30 08:35:49+00:00,E0107,wach,0.75,,,,,,,,
_result,1,2025-10-30 08:40:46+00:00,E0107,wach,,A,4.56,3.97,4.24,,,,
_result,0,2025-10-30 08:40:47+00:00,E0107,wach,0.75,,,,,,,,
_result,0,2025-10-30 08:45:48+00:00,E0107,wach,0.75,,,,,,,,
_result,1,2025-10-30 08:50:47+00:00,E0107,wach,,A,4.56,3.96,4.24,,,,
_result,0,2025-10-30 08:50:48+00:00,E0107,wach,0.75,,,,,,,,
_result,1,2025-10-30 08:55:53+00:00,E0107,wach,,A,4.56,3.96,4.24,,,,
_result,0,2025-10-30 08:55:54+00:00,E0107,wach,0.75,,,,,,,,
_result,1,2025-10-30 09:00:50+00:00,E0107,wach,,A,4.57,3.98,4.26,,,,
_result,0,2025-10-30 09:00:51+00:00,E0107,wach,0.75,,,,,,,,
_result,1,2025-10-30 09:05:47+00:00,E0107,wach,,A,4.58,3.99,4.27,,,,
_result,0,2025-10-30 09:05:48+00:00,E0107,wach,0.75,,,,,,,,
_result,1,2025-10-30 09:10:50+00:00,E0107,wach,,A,4.58,3.99,4.27,,,,
_result,0,2025-10-30 09:10:51+00:00,E0107,wach,0.75,,,,,,,,
_result,1,2025-10-30 09:15:52+00:00,E0107,wach,,A,4.58,3.99,4.27,,,,
_result,0,2025-10-30 09:15:53+00:00,E0107,wach,0.75,,,,,,,,
_result,1,2025-10-30 09:21:43+00:00,E0107,wach,,A,4.58,3.98,4.26,,,,
_result,0,2025-10-30 09:21:44+00:00,E0107,wach,0.75,,,,,,,,
_result,2,2025-10-30 09:31:43+00:00,E0107,wach,,V,,,,235.4,,,
