metric,missing_percent,unique_ratio,noise_ratio,flat_sensor,quality_score
power_factor_avg,0.0,0.002,0.264,False,0.621
power_factor_l1,0.0,0.003,0.281,False,0.617
power_factor_l2,0.0,0.003,0.302,False,0.61
power_factor_l3,0.0,0.003,0.309,False,0.608
units,100.0,0.0,,True,0.0
current_l1_thd,0.04,0.029,2.888,False,0.409
current_l3_thd,0.77,0.032,3.051,False,0.406
current_unbalance,0.0,0.021,2.591,False,0.406
volts_l1_thd,0.0,0.003,0.359,False,0.593
volts_l2_thd,0.0,0.003,0.306,False,0.609
volts_l3_thd,0.0,0.002,0.282,False,0.616
volts_unbalance,0.0,0.001,0.472,False,0.559
current_avg,0.0,0.074,1.236,False,0.422
current_l1,0.0,0.076,1.213,False,0.423
current_l2,0.0,0.075,1.211,False,0.422
current_l3,0.0,0.077,1.166,False,0.423
freq,0.0,0.0,0.001,False,0.7
volts_l1_l2,0.0,0.012,0.077,False,0.681
volts_l1_n,0.0,0.007,0.077,False,0.679
volts_l2_l3,0.0,0.013,0.077,False,0.681
volts_l2_n,0.0,0.008,0.077,False,0.679
volts_l3_l1,0.0,0.012,0.077,False,0.681
volts_l3_n,0.0,0.008,0.077,False,0.679
volts_l_l_avg,0.0,0.012,0.077,False,0.681
volts_l_n_avg,0.0,0.007,0.077,False,0.679
apparent_power_demand,0.0,0.056,1.189,False,0.417
apparent_power_l1,0.0,0.787,1.228,False,0.636
apparent_power_l2,0.0,0.79,1.224,False,0.637
apparent_power_l3,0.0,0.788,1.179,False,0.636
apparent_power_total,0.0,0.814,1.191,False,0.644
apparent_energy,0.0,0.794,7.115,False,0.638
reactive_power_demand,0.0,0.026,1.173,False,0.408
reactive_energy_export,0.0,0.083,44.913,False,0.425
reactive_energy_import,0.0,0.654,9.184,False,0.596
max_power_demand,0.0,0.001,10.839,False,0.4
power_demand,0.0,0.045,1.412,False,0.414
power_l1,0.0,0.778,1.401,False,0.634
power_l2,0.0,0.775,1.312,False,0.633
power_l3,0.0,0.778,1.307,False,0.633
power_total,0.0,0.809,1.416,False,0.643
energy_export,0.0,0.015,30.452,False,0.404
energy_import,0.0,0.762,6.221,False,0.628
reactive_power_l1,0.0,0.79,1.482,False,0.637
reactive_power_l2,0.0,0.79,1.977,False,0.637
reactive_power_l3,0.0,0.79,1.659,False,0.637
reactive_power_total,0.0,0.822,1.722,False,0.647
