metric,AHUs_valid_for_ML,total_AHUs,percentage
power_factor_avg,7,154,4.55
power_factor_l1,10,154,6.49
power_factor_l2,8,154,5.19
power_factor_l3,14,154,9.09
current_l1_thd,32,154,20.78
current_l3_thd,45,154,29.22
current_unbalance,17,154,11.04
volts_l1_thd,60,154,38.96
volts_l2_thd,61,154,39.61
volts_l3_thd,73,154,47.4
volts_unbalance,29,154,18.83
current_avg,26,154,16.88
current_l1,23,154,14.94
current_l2,25,154,16.23
current_l3,31,154,20.13
freq,1,154,0.65
volts_l1_l2,48,154,31.17
volts_l1_n,60,154,38.96
volts_l2_l3,68,154,44.16
volts_l2_n,35,154,22.73
volts_l3_l1,58,154,37.66
volts_l3_n,78,154,50.65
volts_l_l_avg,60,154,38.96
volts_l_n_avg,57,154,37.01
apparent_power_demand,24,154,15.58
apparent_power_l1,26,154,16.88
apparent_power_l2,22,154,14.29
apparent_power_l3,31,154,20.13
apparent_power_total,25,154,16.23
apparent_energy,0,154,0.0
reactive_power_demand,30,154,19.48
reactive_energy_export,4,154,2.6
reactive_energy_import,0,154,0.0
max_power_demand,0,154,0.0
power_demand,18,154,11.69
power_l1,19,154,12.34
power_l2,18,154,11.69
power_l3,18,154,11.69
power_total,16,154,10.39
energy_export,19,154,12.34
energy_import,0,154,0.0
reactive_power_l1,20,154,12.99
reactive_power_l2,20,154,12.99
reactive_power_l3,25,154,16.23
reactive_power_total,24,154,15.58
delta_kwh,129,154,83.77
