controller,rows,columns,memory_mb
e0101,10047,51,4.18
e0102,10047,51,4.18
e0101,10047,52,4.26
e0102,10047,52,4.26
e0103,10047,52,4.26
e0101,10047,53,4.26
e0102,10047,53,4.26
e0103,10047,53,4.26
e0104,10047,53,4.26
e0105,10047,53,4.26
e0106,10047,53,4.26
e0107,10047,53,4.26
e0108,10047,53,4.26
e0109,10047,53,4.26
e0110,10047,53,4.26
e0111,10047,53,4.26
e0112,10047,52,4.18
e0113,10047,53,4.26
e0114,10047,53,4.26
e0115,10047,53,4.26
e0116,10047,53,4.26
e0117,10047,53,4.26
e0118,10047,53,4.26
e0119,10047,53,4.26
e0120,10047,53,4.26
e0121,10047,53,4.26
e0201,9476,53,4.02
e0202,9478,53,4.02
e0203,9478,53,4.02
e0204,9478,53,4.02
e0205,9479,53,4.02
e0206,9480,53,4.02
e0207,9480,53,4.02
e0208,9466,53,4.01
e0209,9466,53,4.01
e0210,9466,53,4.01
e0211,9466,53,4.01
e0212,9466,53,4.01
e0213,9466,53,4.01
e0214,9466,53,4.01
e0215,9473,53,4.02
e0216,9473,53,4.02
e0217,9466,53,4.01
e0218,9466,53,4.01
e0219,9473,53,4.02
e0220,9473,53,4.02
e0221,9472,53,4.02
e0222,9472,53,4.02
e0301,8987,53,3.81
e0302,8987,53,3.81
e0303,8987,53,3.81
e0304,8987,53,3.81
e0305,8987,53,3.81
e0306,8991,53,3.81
e0307,8991,53,3.81
e0308,8987,53,3.81
e0309,8987,53,3.81
e0310,8987,53,3.81
e0311,8993,53,3.81
e0312,8991,53,3.81
e0313,8991,53,3.81
e0314,8990,53,3.81
e0315,8990,53,3.81
e0401,7463,53,3.16
e0402,7463,53,3.16
e0403,7463,53,3.16
e0404,7463,53,3.16
e0405,7463,53,3.16
e0406,4123,53,1.75
e0407,6710,53,2.85
e0408,6710,53,2.85
e0409,6710,53,2.85
e0410,6710,53,2.85
e0411,6710,53,2.85
e0412,6710,53,2.85
e0413,4493,53,1.91
e0414,4123,53,1.75
e0415,4123,53,1.75
e0416,4123,53,1.75
e0417,4123,53,1.75
e0418,4123,53,1.75
e0419,4123,53,1.75
e0420,4123,53,1.75
e0421,4123,53,1.75
e0422,4123,53,1.75
e0423,4123,53,1.75
e0501,5368,53,2.28
e0502,5368,53,2.28
e0503,5368,53,2.28
e0504,5368,53,2.28
e0505,5368,53,2.28
e0506,5368,53,2.28
e0507,5367,53,2.28
e0508,5367,53,2.28
e0509,5367,53,2.28
e0510,5367,53,2.28
e0511,5367,53,2.28
