device_id,behavioral_class,dept,area,label,type,avg_kw,peak_kw,min_kw,std_kw,data_points,avg_similarity_to_class,top_5_similar_devices,top_5_similarity_scores
e1008,Class_1,Inpatient Wards - Paediatric Medical Ward 2,Inpatient Wards - Paediatric Medical Ward 2,AHU-L10-PM2-02,3,6.67,6.81,6.55,0.05,149,0.709,"e0801, e1101, e0626, e0510, e0213","0.897, 0.857, 0.852, 0.844, 0.830"
e0626,Class_1,Shared Facilities 6,Shared Facilities 6,AHU-L6-SF-01,1,6.48,7.14,6.29,0.26,149,0.685,"e0510, e0205, e1002, e1008, e0604","0.977, 0.914, 0.883, 0.852, 0.819"
e0510,Class_1,Paediatric Intensive Care Unit,Paediatric Intensive Care Unit (PICU),AHU-L5-PICU-01,3,11.0,11.69,10.75,0.3,149,0.678,"e0626, e0205, e1002, e1008, e0604","0.977, 0.933, 0.908, 0.844, 0.830"
e0801,Class_1,1st Class Ward,1st Class Ward,AHU-L8-CW-02,3,4.99,5.14,4.87,0.1,149,0.666,"e1101, e0213, e1008, e0419, e0626","0.989, 0.960, 0.897, 0.779, 0.779"
e0205,Class_1,Child Development Centre,Child Development Centre 2 - Physiotheraphy,AHU-L2-CDC-05,2,3.29,3.35,3.24,0.03,149,0.651,"e1002, e0510, e0626, e0604, e1008","0.950, 0.933, 0.914, 0.857, 0.792"
e1101,Class_1,Inpatient Wards - Paediatric Surgical Ward 1,Inpatient Wards - Paediatric Surgical Ward 1,AHU-L11-PS1-02,3,-6.06,-5.86,-6.24,0.14,149,0.646,"e0801, e0213, e1008, e0419, e0626","0.989, 0.953, 0.857, 0.786, 0.731"
e0604,Class_1,Administration Unit,Administration Unit,AHU-L6-AU-02,3,7.42,7.57,7.3,0.05,149,0.64,"e1002, e0205, e0625, e0510, e1008","0.887, 0.857, 0.849, 0.830, 0.825"
e0213,Class_1,Women Health Unit,Women Health Unit,AHU-L2-WHU-01,21,8.24,9.49,7.02,0.95,149,0.633,"e0801, e1101, e1008, e0626, e0510","0.960, 0.953, 0.830, 0.755, 0.754"
e1002,Class_1,Inpatient Wards - Paediatric Medical Ward 1,Inpatient Wards - Paediatric Medical Ward 1,AHU-L10-PM1-01,3,10.05,10.31,9.83,0.11,149,0.623,"e0205, e0510, e0604, e0626, e0625","0.950, 0.908, 0.887, 0.883, 0.852"
e0207,Class_1,Medical Social Services,Medical Social Services,AHU-L2-MSS-01,1,2.64,2.69,2.44,0.03,149,0.592,"e0625, e0604, e1002, e0605, e0901","0.851, 0.793, 0.787, 0.768, 0.766"
e0206,Class_1,Cafeteria,Cafeteria,AHU-L2-CF-01,1,3.89,4.83,2.9,0.48,149,0.587,"e0120, e0508, e1101, e0801, e1008","0.750, 0.729, 0.729, 0.717, 0.713"
e0905,Class_1,Neonatology Wards 1,Neonatology Wards 1,AHU-L9-NW1-01,3,2.38,2.53,2.29,0.04,149,0.576,"e1008, e0801, e0213, e0207, e0626","0.652, 0.631, 0.628, 0.612, 0.611"
e0117,Class_1,Shared Facilities 1,Shared Facilities 1 - 1 - General,AHU-L1-SF-01,1,11.61,11.85,7.36,0.43,149,0.56,"e0108, e0103, e1008, e0611, e0502","0.805, 0.698, 0.624, 0.622, 0.618"
e0120,Class_1,Imaging Department,Imaging Department,AHU-L1-ID-02,3,3.29,4.0,1.42,0.86,149,0.552,"e0805, e0206, e0508, e0702, e0703","0.775, 0.750, 0.710, 0.707, 0.700"
e0113,Class_1,Emergency Department,Emergency Department 1 - General Area,AHU-L1-ED-04,3,3.26,3.36,2.45,0.08,149,0.55,"e0114, e0403, e0213, e0315, e0112","0.813, 0.697, 0.695, 0.689, 0.679"
