=== EARLIEST DATA RECORDED PER DEVICE ===
Source Bucket: wach_bucket_3
----------------------------------------
e0101: 2025-10-30 08:15:10+00:00
e0102: 2025-10-30 08:15:11+00:00
e0103: 2025-10-30 08:15:11+00:00
e0104: 2025-10-30 08:15:12+00:00
e0105: 2025-10-30 08:15:13+00:00
e0106: 2025-10-30 08:15:13+00:00
e0107: 2025-10-30 08:15:15+00:00
e0108: 2025-10-30 08:15:15+00:00
e0109: 2025-10-30 08:15:15+00:00
e0110: 2025-10-30 08:15:16+00:00
e0111: 2025-10-30 08:15:16+00:00
e0112: 2025-10-30 08:15:18+00:00
e0113: 2025-10-30 08:15:19+00:00
e0114: 2025-10-30 08:15:19+00:00
e0115: 2025-10-30 08:15:19+00:00
e0116: 2025-10-30 08:15:22+00:00
e0117: 2025-10-30 08:15:21+00:00
e0118: 2025-10-30 08:15:21+00:00
e0119: 2025-10-30 08:15:23+00:00
e0120: 2025-10-30 08:15:25+00:00
e0121: 2025-10-30 08:15:23+00:00
e0201: 2025-11-05 07:03:52+00:00
e0202: 2025-11-05 06:41:01+00:00
e0203: 2025-11-05 06:41:01+00:00
e0204: 2025-11-05 06:41:04+00:00
e0205: 2025-11-05 06:25:02+00:00
e0206: 2025-11-05 06:06:40+00:00
e0207: 2025-11-05 06:08:39+00:00
e0208: 2025-11-05 09:34:58+00:00
e0209: 2025-11-05 09:34:34+00:00
e0210: 2025-11-05 09:34:56+00:00
e0211: 2025-11-05 09:38:49+00:00
e0212: 2025-11-05 09:38:50+00:00
e0213: 2025-11-05 09:38:54+00:00
e0214: 2025-11-05 09:38:53+00:00
e0215: 2025-11-05 07:54:31+00:00
e0216: 2025-11-05 07:57:57+00:00
e0217: 2025-11-05 09:30:48+00:00
e0218: 2025-11-05 09:30:48+00:00
e0219: 2025-11-05 07:58:52+00:00
e0220: 2025-11-05 07:59:10+00:00
e0221: 2025-11-05 08:01:13+00:00
e0222: 2025-11-05 08:00:46+00:00
e0301: 2025-11-10 09:17:38+00:00
e0302: 2025-11-10 09:17:59+00:00
e0303: 2025-11-10 09:19:45+00:00
e0304: 2025-11-10 09:22:24+00:00
e0305: 2025-11-10 09:21:57+00:00
e0306: 2025-11-10 08:24:30+00:00
e0307: 2025-11-10 08:28:10+00:00
e0308: 2025-11-10 09:19:52+00:00
e0309: 2025-11-10 09:19:51+00:00
e0310: 2025-11-10 09:19:40+00:00
e0311: 2025-11-10 07:47:54+00:00
e0312: 2025-11-10 08:27:55+00:00
e0313: 2025-11-10 08:28:30+00:00
e0314: 2025-11-10 08:30:09+00:00
e0315: 2025-11-10 08:30:14+00:00
e0401: 2025-11-26 06:19:54+00:00
e0402: 2025-11-26 06:20:08+00:00
e0403: 2025-11-26 06:19:21+00:00
e0404: 2025-11-26 06:19:28+00:00
e0405: 2025-11-26 06:23:35+00:00
