power_factor_avg,current_l1,current_l2,current_l3,volts_l1_n,volts_l2_n,volts_l3_n,power_total
0.79,0.664,0.55,0.71,232.34,230.85999999999999,232.35999999999999,0.3528458
0.79,0.67,0.55,0.7185714285714285,233.68571428571428,232.18571428571428,233.72857142857143,0.3559748571428572
0.79,0.67,0.55,0.72,233.92857142857142,232.44285714285712,234.02857142857144,0.35616242857142855
0.79,0.67,0.55,0.72,234.075,232.575,234.0875,0.355818125
0.79,0.67,0.55,0.72,234.425,232.975,234.48749999999998,0.357117375
0.79,0.67,0.55,0.7200000000000001,234.0666666666667,232.5666666666667,234.16666666666666,0.35635483333333334
0.79,0.67,0.55,0.7185714285714285,233.92857142857142,232.35714285714286,233.97142857142856,0.3556724285714286
0.79,0.67,0.55,0.71875,234.025,232.5125,234.05,0.35617825
0.79,0.67,0.55,0.72,233.8,232.375,233.9625,0.355707875
0.79,0.67,0.55,0.72,233.78571428571428,232.34285714285716,233.85714285714286,0.3557471428571429
0.79,0.67,0.55,0.72,233.9,232.475,234.0,0.3556995
0.79,0.67,0.55,0.72,234.35714285714286,232.95714285714286,234.44285714285712,0.3568944285714286
0.7814285714285715,0.67,0.55,0.72,235.32857142857142,233.91428571428574,235.41428571428574,0.3587987142857143
0.7775000000000001,0.66625,0.5575000000000001,0.7275,236.175,234.7625,236.2625,0.357865625
0.77,0.6475,0.56,0.73,237.875,236.4,237.9,0.35444725
0.7785714285714286,0.6414285714285715,0.5514285714285715,0.7214285714285714,235.0,233.52857142857144,235.1,0.34941000000000005
0.78,0.64,0.55,0.72,234.18571428571428,232.77142857142857,234.4,0.3490965714285714
0.78,0.64,0.55,0.72,234.525,233.07500000000002,234.7375,0.34919925
0.78,0.64,0.55,0.72,234.45714285714286,232.9857142857143,234.71428571428572,0.34799428571428576
0.78,0.64,0.55,0.72,234.7625,233.325,235.125,0.34853375
0.8585714285714285,0.49714285714285716,0.40714285714285714,0.5485714285714286,234.41428571428574,233.0,234.8857142857143,0.28943214285714286
0.89,0.44,0.35,0.48,234.4375,233.075,235.0125,0.265387625
0.8985714285714286,0.44,0.35,0.48,234.24285714285716,232.7571428571429,234.87142857142857,0.26443114285714286
0.895,0.44,0.35,0.48,234.325,232.875,234.875,0.26462600000000003
0.895,0.44,0.35,0.48,234.4,232.8625,234.9,0.265337375
0.8928571428571429,0.44,0.35,0.48,234.81428571428572,233.22857142857143,235.28571428571428,0.26567928571428573
0.895,0.44,0.35,0.48,234.95,233.45,235.45,0.26569125
0.8928571428571429,0.44,0.35,0.48,235.08571428571426,233.4857142857143,235.54285714285714,0.266267
0.89125,0.44,0.35,0.48,235.2,233.6375,235.775,0.266145125
0.89,0.44,0.35,0.48,235.18571428571428,233.62857142857143,235.62857142857143,0.2657305714285714
0.89,0.44,0.35,0.48,235.58571428571426,233.9857142857143,236.1142857142857,0.2668285714285714
0.89,0.44,0.35,0.48,236.35,234.625,236.825,0.26744025
0.89,0.44,0.35,0.48,237.20000000000002,235.5,237.6142857142857,0.2687265714285714
0.89,0.44,0.35,0.48,237.05714285714288,235.29999999999998,237.64285714285714,0.2690692857142857
0.89,0.44,0.35,0.48000000000000004,237.45555555555555,235.8777777777778,237.9888888888889,0.269268
